gall,galb,mu0,ra,dec,umag,gmag,rmag,imag,zmag,ymag
-1.6209,-3.5937,14.8423,264.3791,-32.5937,24.392,23.416,22.393,22.157,21.351,20.981
-1.0838,-1.9323,14.5624,264.9162,-30.9323,24.685,23.269,22.628,21.747,21.091,21.148
3.9027,-2.9858,15.1824,269.9027,-31.9858,25.274,23.425,22.144,22.402,21.68,21.492
-2.7284,-2.7244,14.473,263.2716,-31.7244,24.31,23.293,22.345,21.355,21.159,20.98
1.2319,-1.4315,14.4519,267.2319,-30.4315,24.736,23.489,22.133,21.965,20.816,20.994
-4.1598,-5.6736,14.0165,261.8402,-34.6736,24.88,22.738,21.744,21.681,21.0,21.1
3.3264,-1.8251,13.8123,269.3264,-30.8251,24.515,22.906,21.95,20.408,21.385,20.937
2.871,-4.0909,14.9232,268.871,-33.0909,25.118,23.439,22.64,21.835,22.062,21.375
-2.6063,-4.3723,15.1882,263.3937,-33.3723,25.366,23.735,22.32,22.457,21.424,21.209
3.7648,-1.0299,14.8556,269.7648,-30.0299,25.448,23.409,22.542,22.061,21.699,21.461
-4.4143,-2.094,14.2376,261.5857,-31.094,24.664,23.114,22.171,21.386,21.159,20.973
-1.6388,-3.5723,14.6514,264.3612,-32.5723,25.195,23.028,21.953,21.656,21.411,20.901
-3.4972,-3.8869,14.6268,262.5028,-32.8869,24.794,23.32,22.779,21.322,21.694,20.94
-0.4966,-1.6124,15.3731,265.5034,-30.6124,25.023,23.41,23.014,22.148,21.942,21.855
2.9632,-5.5659,14.2753,268.9632,-34.5659,24.732,23.292,21.88,21.0,21.184,21.491
-2.6936,-2.4579,13.8296,263.3064,-31.4579,24.233,22.884,21.739,21.01,20.636,20.556
-4.4798,-2.0542,15.2539,261.5202,-31.0542,24.955,23.639,22.858,22.363,21.29,20.804
-0.9545,-2.004,15.2895,265.0455,-31.004,24.962,23.377,22.496,22.039,21.626,21.621
-3.0149,-4.3886,13.5965,262.9851,-33.3886,23.61,23.039,21.246,21.089,20.895,20.327
-4.0925,-2.0168,13.8964,261.9075,-31.0168,24.48,23.156,22.263,21.316,21.099,20.968
0.8033,-4.8734,14.7726,266.8033,-33.8734,24.507,23.645,22.389,22.609,21.621,21.073
-2.013,-4.1885,15.0777,263.987,-33.1885,25.007,24.207,23.111,22.249,21.833,22.008
1.7199,-3.9128,14.7134,267.7199,-32.9128,25.292,23.341,22.464,21.524,20.636,21.19
-3.0048,-3.293,13.8832,262.9952,-32.293,24.285,23.303,21.999,21.842,21.213,21.012
4.4211,-5.4369,13.7353,270.4211,-34.4369,24.205,22.83,22.73,21.241,20.553,20.303
-1.3489,-3.9653,14.5119,264.6511,-32.9653,25.165,23.374,22.204,21.878,21.59,20.21
-3.945,-5.9985,15.131,262.055,-34.9985,25.229,23.675,22.28,21.79,21.667,21.406
1.2911,-2.2781,13.9341,267.2911,-31.2781,24.76,23.046,22.036,21.086,21.156,20.846
4.2715,-1.7406,13.6503,270.2715,-30.7406,24.219,23.023,22.166,21.466,20.663,20.841
-0.5962,-5.3053,14.6021,265.4038,-34.3053,25.025,23.21,21.952,21.47,21.386,20.935
4.5459,-2.4811,13.8836,270.5459,-31.4811,24.236,22.954,21.669,21.107,20.382,20.354
-0.001,-1.8945,13.6348,265.999,-30.8945,24.115,22.978,21.952,21.487,21.146,20.137
-0.7477,-1.0909,15.0465,265.2523,-30.0909,25.202,24.048,21.564,21.575,21.424,21.489
1.2021,-1.781,15.1425,267.2021,-30.781,24.892,23.319,22.243,21.545,20.795,21.584
4.951,-3.8795,14.2967,270.951,-32.8795,24.878,22.606,22.387,21.712,21.467,20.686
4.4894,-1.1016,14.0882,270.4894,-30.1016,25.262,22.899,21.868,20.856,21.547,20.686
-0.3995,-1.1301,14.0542,265.6005,-30.1301,24.021,23.054,21.539,21.202,20.764,20.609
2.5773,-3.4816,14.2219,268.5773,-32.4816,24.385,23.163,22.689,21.401,21.475,20.342
-0.0258,-2.2328,14.6538,265.9742,-31.2328,25.163,23.355,21.904,21.323,21.102,21.187
0.2931,-1.4308,14.5556,266.2931,-30.4308,24.734,23.633,22.121,21.343,20.598,21.332
2.8579,-3.6193,14.2107,268.8579,-32.6193,24.954,23.398,21.994,21.705,20.998,20.838
-0.8534,-1.6811,14.7748,265.1466,-30.6811,24.584,23.373,22.412,21.875,21.485,20.761
2.3448,-2.4922,14.8515,268.3448,-31.4922,25.025,23.285,22.315,21.542,21.466,21.166
2.1114,-4.5304,14.6166,268.1114,-33.5304,24.763,23.204,22.284,21.867,21.339,21.518
4.3206,-2.1617,14.2746,270.3206,-31.1617,24.679,23.03,22.155,21.993,21.226,21.576
-3.8507,-3.1466,14.7478,262.1493,-32.1466,24.973,23.306,22.348,21.389,21.439,21.255
2.2902,-5.5308,14.6838,268.2902,-34.5308,24.476,22.87,22.37,21.76,21.277,20.905
4.2742,-4.0431,14.1806,270.2742,-33.0431,24.268,22.952,21.377,22.083,20.91,20.295
4.6793,-5.6313,14.1064,270.6793,-34.6313,24.973,22.926,22.186,21.637,20.973,20.389
-4.8529,-3.6192,14.5915,261.1471,-32.6192,24.884,23.239,21.874,21.94,21.19,21.069
3.6364,-3.8573,14.7247,269.6364,-32.8573,24.894,23.286,21.712,21.702,21.271,21.23
4.812,-3.8813,14.7216,270.812,-32.8813,24.848,23.562,22.775,21.521,21.03,21.238
4.5721,-3.0685,14.2657,270.5721,-32.0685,24.74,22.973,21.747,21.876,20.97,20.854
-3.5124,-5.3865,14.6315,262.4876,-34.3865,24.469,23.184,22.37,21.912,21.34,20.653
4.7263,-1.3312,15.4715,270.7263,-30.3312,24.936,23.898,22.504,22.12,21.829,21.063
3.8994,-2.5797,14.356,269.8994,-31.5797,25.069,23.107,21.974,21.438,21.159,21.022
3.2237,-1.8811,15.186,269.2237,-30.8811,25.138,23.658,22.738,21.469,21.538,21.146
-0.2001,-1.516,13.6626,265.7999,-30.516,24.586,23.032,21.517,21.278,20.992,21.023
-2.6763,-3.0834,15.2505,263.3237,-32.0834,24.944,23.752,22.737,21.818,21.87,20.988
3.0188,-5.7989,15.3834,269.0188,-34.7989,25.605,23.767,22.806,22.052,21.896,21.998
4.2353,-2.4426,14.0237,270.2353,-31.4426,24.615,22.953,22.361,21.613,20.487,20.612
-2.3387,-3.1549,13.5242,263.6613,-32.1549,24.406,22.967,21.661,21.408,20.625,20.629
0.3893,-1.8702,14.466,266.3893,-30.8702,24.898,23.286,22.547,21.849,21.445,21.1
-0.5725,-3.3392,13.8654,265.4275,-32.3392,24.194,22.781,22.449,22.009,21.087,20.63
4.3102,-1.9338,15.4433,270.3102,-30.9338,24.662,23.676,23.198,22.471,21.926,20.918
-4.5949,-1.0149,15.2954,261.4051,-30.0149,24.825,23.282,22.824,21.824,21.742,21.303
2.3201,-4.2472,15.4213,268.3201,-33.2472,25.7,23.422,22.845,21.865,21.455,21.967
1.1437,-5.1449,14.7077,267.1437,-34.1449,25.244,22.789,23.209,22.452,21.721,20.77
-4.7163,-4.0416,14.5303,261.2837,-33.0416,24.661,23.061,22.935,21.466,20.857,20.513
2.1922,-2.2348,15.1654,268.1922,-31.2348,24.992,23.983,22.353,21.969,21.878,21.317
-4.8401,-3.8039,14.8047,261.1599,-32.8039,25.213,23.235,22.679,22.326,21.397,21.079
2.5795,-3.0581,13.9971,268.5795,-32.0581,24.448,23.235,22.179,21.913,20.557,20.411
0.1276,-5.3632,15.3686,266.1276,-34.3632,24.795,23.683,22.706,22.068,21.565,21.259
4.291,-2.3694,14.3794,270.291,-31.3694,25.069,22.98,22.236,21.662,21.551,20.845
-4.3392,-4.5996,15.0471,261.6608,-33.5996,25.167,23.925,22.67,21.433,21.347,21.2
3.4132,-5.0469,14.5019,269.4132,-34.0469,23.996,23.426,22.532,21.378,20.888,21.1
-4.3331,-1.6853,13.8667,261.6669,-30.6853,24.339,22.408,21.999,21.224,20.847,20.945
-1.5569,-3.1779,14.0919,264.4431,-32.1779,24.589,23.358,22.148,21.444,20.801,20.962
-0.697,-3.5775,14.6488,265.303,-32.5775,24.969,23.002,22.742,21.627,20.949,21.227
4.6606,-1.5059,13.786,270.6606,-30.5059,24.439,22.84,21.988,21.339,21.024,21.197
0.6223,-5.5699,13.5275,266.6223,-34.5699,24.073,22.964,21.927,21.822,21.003,20.892
-2.4114,-2.5192,14.3678,263.5886,-31.5192,24.649,23.094,22.481,21.723,21.018,20.11
-2.5832,-4.3601,15.0244,263.4168,-33.3601,25.101,23.848,23.002,22.005,21.669,21.203
3.8812,-5.123,14.7283,269.8812,-34.123,24.784,23.593,22.732,21.765,21.248,20.691
-2.7413,-2.626,14.1483,263.2587,-31.626,24.463,22.601,22.187,21.423,21.044,20.667
-3.7545,-4.1859,14.9345,262.2455,-33.1859,25.343,23.326,22.53,22.237,21.504,21.499
-2.1167,-4.3505,14.469,263.8833,-33.3505,24.451,23.319,21.867,21.337,21.682,20.974
0.8612,-1.2816,15.499,266.8612,-30.2816,25.145,23.577,22.837,22.112,21.902,21.421
0.5409,-5.0035,15.0521,266.5409,-34.0035,24.417,23.461,22.215,21.597,21.226,21.721
3.0971,-3.4391,15.1613,269.0971,-32.4391,25.243,23.821,22.273,22.007,21.735,20.929
0.6048,-5.8799,14.0191,266.6048,-34.8799,24.758,23.105,22.205,21.445,20.943,20.781
-2.1158,-5.1832,13.8046,263.8842,-34.1832,24.567,22.626,21.872,21.578,20.762,20.867
-0.871,-1.5829,13.8986,265.129,-30.5829,24.725,23.002,22.091,21.709,20.697,20.757
3.1812,-2.0538,14.3645,269.1812,-31.0538,24.814,22.999,21.994,21.781,21.174,20.633
1.2651,-3.2158,14.5243,267.2651,-32.2158,24.865,22.898,22.623,22.149,21.244,21.055
4.5908,-4.8877,13.8892,270.5908,-33.8877,24.587,22.606,21.988,21.821,20.824,20.987
-1.306,-3.2113,15.0599,264.694,-32.2113,24.95,23.616,22.886,22.025,21.113,21.437
0.5261,-5.9393,15.2369,266.5261,-34.9393,25.475,23.61,22.82,22.13,21.106,21.514
0.9392,-2.435,14.132,266.9392,-31.435,24.461,23.068,22.116,20.885,21.104,20.958
3.4829,-2.4162,14.5161,269.4829,-31.4162,24.319,22.914,22.115,21.754,21.312,21.099
-3.5453,-2.7698,14.6887,262.4547,-31.7698,25.099,23.289,22.354,21.743,21.999,20.772
-0.9349,-2.9433,14.9448,265.0651,-31.9433,25.528,23.161,22.721,21.366,21.419,21.18
4.0996,-5.6314,13.7949,270.0996,-34.6314,24.109,22.62,22.107,21.168,21.204,20.827
-4.5693,-4.768,14.0617,261.4307,-33.768,24.5,22.981,21.672,21.718,21.389,19.897
3.2271,-3.1281,14.9614,269.2271,-32.1281,24.775,23.066,22.788,21.509,21.462,21.508
-0.8462,-4.0291,14.6364,265.1538,-33.0291,24.704,23.519,22.254,22.106,21.341,21.219
3.298,-1.0399,15.2999,269.298,-30.0399,25.164,24.396,22.895,22.192,21.521,21.125
-4.9005,-1.3813,14.3957,261.0995,-30.3813,24.325,23.336,21.989,21.529,21.73,20.774
-1.3495,-5.24,14.3132,264.6505,-34.24,24.573,22.844,22.348,21.514,20.704,20.895
-4.2137,-3.0502,14.113,261.7863,-32.0502,24.117,22.975,21.818,21.705,21.045,20.981
1.5261,-2.5189,13.9627,267.5261,-31.5189,24.311,22.515,22.02,20.952,21.397,20.669
-2.2615,-5.3173,14.8015,263.7385,-34.3173,24.545,23.287,22.311,22.413,21.368,21.551
2.0265,-4.437,14.0294,268.0265,-33.437,24.197,23.167,21.929,21.171,20.843,20.939
4.438,-2.4204,15.2246,270.438,-31.4204,24.596,23.789,22.442,21.783,21.682,21.176
-3.7318,-1.4945,14.0413,262.2682,-30.4945,24.886,22.711,21.975,21.787,21.179,20.679
3.6478,-4.2913,14.8467,269.6478,-33.2913,25.076,23.513,21.901,22.06,21.594,21.292
-4.4054,-4.8053,14.6364,261.5946,-33.8053,24.243,23.665,22.581,22.116,21.403,21.337
-1.1923,-1.891,14.7569,264.8077,-30.891,24.699,23.905,22.667,22.092,21.603,21.382
-0.7023,-3.0751,15.2908,265.2977,-32.0751,24.944,23.435,22.513,22.158,21.929,21.416
-0.1115,-3.6171,13.84,265.8885,-32.6171,24.213,22.661,21.506,20.937,20.588,20.765
4.7646,-4.7192,13.7996,270.7646,-33.7192,23.966,22.916,21.706,21.158,20.786,20.692
2.7569,-5.6367,13.7438,268.7569,-34.6367,24.598,21.993,22.156,21.331,21.133,20.918
-1.9114,-5.9105,13.6529,264.0886,-34.9105,24.208,22.667,22.014,21.221,20.973,20.331
-2.3016,-3.1001,14.5685,263.6984,-32.1001,24.925,23.203,22.194,21.068,21.355,21.265
3.6312,-5.0444,13.8315,269.6312,-34.0444,24.574,22.778,22.185,21.629,21.117,20.16
3.8131,-1.1223,15.1143,269.8131,-30.1223,25.47,23.082,22.245,22.477,21.843,21.492
0.1071,-5.4626,13.5452,266.1071,-34.4626,23.728,22.699,21.589,21.612,20.515,20.649
-1.557,-3.7396,14.2492,264.443,-32.7396,25.146,22.892,22.267,21.219,20.757,20.924
4.9492,-4.0267,14.4464,270.9492,-33.0267,25.104,23.45,22.194,21.754,20.877,20.383
-1.8406,-4.8384,13.9331,264.1594,-33.8384,24.638,22.691,21.79,20.729,21.524,21.237
-3.1729,-2.2562,14.2118,262.8271,-31.2562,25.321,23.021,21.352,22.013,20.79,21.175
3.801,-2.7815,13.9456,269.801,-31.7815,24.534,22.903,22.174,20.791,20.902,20.78
3.1234,-2.3712,14.0637,269.1234,-31.3712,24.778,23.202,22.129,21.555,20.976,20.969
1.6789,-5.586,15.3537,267.6789,-34.586,24.955,22.913,22.154,22.426,21.986,21.195
4.5841,-4.2363,14.3344,270.5841,-33.2363,25.007,23.065,22.347,21.955,20.646,21.121
4.2571,-3.4008,14.2717,270.2571,-32.4008,24.686,23.364,22.132,21.639,21.124,21.404
2.4825,-3.8664,14.7223,268.4825,-32.8664,24.726,23.253,22.445,21.333,21.725,20.808
3.607,-5.7969,14.8283,269.607,-34.7969,25.549,22.956,22.698,21.784,21.749,22.022
-2.5285,-5.0299,14.8206,263.4715,-34.0299,24.819,23.508,22.188,21.73,21.533,21.079
-3.5875,-1.2749,13.6695,262.4125,-30.2749,24.337,22.936,22.049,21.345,20.756,20.883
1.7006,-5.1872,14.6638,267.7006,-34.1872,24.773,23.251,22.537,22.028,21.859,20.884
2.1462,-1.7397,14.9718,268.1462,-30.7397,24.759,23.138,22.714,22.085,20.984,21.403
-3.3295,-1.8893,15.0911,262.6705,-30.8893,25.205,23.323,23.036,22.582,21.84,20.963
-1.0444,-4.0435,14.6771,264.9556,-33.0435,25.06,23.244,22.536,21.937,21.491,20.941
4.1026,-3.6661,13.7611,270.1026,-32.6661,24.487,22.618,21.712,21.164,21.058,20.612
0.614,-1.88,13.6675,266.614,-30.88,23.626,22.258,22.373,21.723,20.913,20.437
0.7834,-2.5966,14.1461,266.7834,-31.5966,24.875,22.842,21.741,21.379,21.135,20.801
-3.0587,-1.8153,15.3551,262.9413,-30.8153,25.072,23.659,22.539,22.162,21.957,21.77
0.2602,-2.212,14.4452,266.2602,-31.212,24.358,23.07,21.933,21.677,20.877,20.639
0.2343,-2.5436,15.2909,266.2343,-31.5436,25.326,23.623,22.615,21.358,21.272,21.087
-4.1106,-1.4351,14.4193,261.8894,-30.4351,24.879,23.235,22.534,21.693,21.258,21.024
4.8194,-1.886,15.0102,270.8194,-30.886,24.692,23.774,22.894,21.992,21.521,21.136
0.714,-5.1047,14.4703,266.714,-34.1047,25.477,23.896,22.374,21.572,21.284,20.734
-4.9359,-2.2589,14.9174,261.0641,-31.2589,24.596,23.678,22.276,21.816,21.936,21.298
2.7265,-5.5666,14.1344,268.7265,-34.5666,24.047,22.646,21.901,21.082,20.893,20.698
4.7827,-3.8707,15.2797,270.7827,-32.8707,24.794,22.843,22.459,22.065,21.865,21.541
0.8987,-4.0162,14.0314,266.8987,-33.0162,24.942,22.987,22.302,21.867,21.131,20.804
